2026-01-29 12:52:29.783040,download.jpg,"['running_shoe', 'swab', 'clog']","[np.float32(0.38258052), np.float32(0.12896349), np.float32(0.02633907)]",a cat sitting on top of a pair of shoes,Yes,Yes.1,Unnamed: 7,uploaded_filename,model_prediction,user_label,was_correct,image_hash,image_path,blip_caption
2026-01-29 13:01:00.239439,download.jpg,"['German_shepherd', 'tabby', 'tiger_cat']","[np.float32(0.7402367), np.float32(0.018142106), np.float32(0.010660841)]",a cat and dog sitting on a couch,Yes,Yes,the german shepherd prediction was 100% correct and the BLIP caption was 100% correct,,,,,,,
2026-01-29 13:05:56.815840,download.jpg,"['bull_mastiff', 'American_Staffordshire_terrier', 'boxer']","[np.float32(0.09705936), np.float32(0.067949764), np.float32(0.065483995)]",a cat and dog sitting together,No,Yes,,,,,,,,
2026-01-29T20:49:34.145413,Norwegian_elkhound,0.4541118,No,a woman walking a dog,Yes,Eskimo_dog is the correct prediction,,,,,,,,
2026-01-29T20:59:21.493236,malamute,0.3075981,No,Eskimo_dog,a dog standing on a boat,Yes,,,,,,,,
2026-01-29T21:02:43.792427,malamute,0.30758414,No,Eskimo_dog,a dog standing on a boat,Yes,,,,,,,,
2026-01-29T21:04:14.606268,Eskimo_dog,0.3662118,No,Siberian_husky,a dog sitting in the snow,Yes,,,,,,,,
2026-01-29T21:06:27.047281,packet,0.9288965,Yes,packet,a bag of tao chips on fire,No,bag of tortilla chips,,,,,,,
2026-01-29T21:23:28.980448,sports_car,0.43327385,Yes,sports_car,a red car on a white background,Yes,,,,,,,,
2026-01-29T21:25:16.844316,assault_rifle,0.7119466,No,pump_action_shotgun,a rifle with a rifle and a rifle scope,No,caption: pump-action shotgun,,,,,,,
2026-01-29T21:39:31.531768,assault_rifle,0.7119466,No,pump_action_shotgun,a rifle with a rifle and a rifle scope,No,,,,,,,,
2026-01-29T21:50:25.580393,wood_rabbit,0.7523264,No,rabbit,a rabbit sitting in the dirt,Yes,,,,,,,,
2026-01-30T15:26:31.795356,buckeye,0.18905696,No,sycamore_tree,a tree on a hill,Yes,,,,,,,,
2026-01-30T15:27:36.766754,warplane,0.7627044,Yes,warplane,a plane flying in the sky,Yes,,,,,,,,
2026-01-30T15:30:17.888417,projectile,0.31637174,No,warplane,a jet is flying over the water,Yes,fighter jet takeoff,,,,,,,
,,,,,,,,images.jpg,dragonfly,bee,No,,,
,,,,,,,,images.jpg,honeycomb,honeycomb,Yes,,,
,,,,,,,,istockphoto-1420676204-612x612.jpg,tiger,tiger,Yes,,,
,,,,,,,,istockphoto-1420676204-612x612.jpg,cat,tiger,No,,,
,,,,,,,,,tiger,tiger,Yes,0858877e65ceb57196085ddc912c8fe9,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\0858877e65ceb57196085ddc912c8fe9.jpg,
,,,,,,,,,wall_clock,wall_clock,Yes,2e4fcee7cb2256fe217274d5bf11fee5,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\2e4fcee7cb2256fe217274d5bf11fee5.jpg,
,,,,,,,,,impala,whitetail_deer,No,07ff10609e80eac8605fadfb3374365d,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\07ff10609e80eac8605fadfb3374365d.jpg,
,,,,,,,,,gazelle,whitetail_deer,No,a8c122f10dfdcbd86563e0ee9bab79ad,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\a8c122f10dfdcbd86563e0ee9bab79ad.jpg,
,,,,,,,,,impala,whitetail_deer,No,c0deb0d306e203a79ff29f822688fd74,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\c0deb0d306e203a79ff29f822688fd74.jpg,a deer is standing in the woods
,,,,,,,,,tusker,african_elephant,No,ce41f49af943c9abe2839a9867ce8be3,C:\Users\sschley\OneDrive\Documents\GitHub\insight_ai_app\feedback_images\ce41f49af943c9abe2839a9867ce8be3.jpg,a large elephant standing in a field
